event_id,event_type,event_date,customer_id,product_id,country,latitude,longitude,region,channel,payment_method,currency,quantity,unit_price_local,discount_code,discount_local,tax_local,net_revenue_local,fx_rate_to_usd,net_revenue_usd,is_refunded,refund_datetime,refund_reason
2D1F3CF9F136,order,7/25/2025 16:10,CUST0002887,PROD0072,France,46.2276,2.2137,EU,Website,Credit Card,EUR,1,252.26,N/A,0,50.45,302.71,1.06,320.87,FALSE,,
A6AC4B1CA09C,invoice,10/15/2025 6:45,CUST0003162,PROD0008,United Kingdom,55.3781,-3.436,EU,Website,Invoice,GBP,20,72.95,N/A,0,291.8,1750.8,1.22,2135.98,FALSE,,
09993D07F4C6,invoice,8/16/2024 18:48,CUST0001388,PROD0007,United States,39.8283,-98.5795,,Website,Credit Card,USD,1,9,WELCOME10,0.9,0,8.1,1,8.1,FALSE,,
E7DD26448A5C,order,10/14/2025 11:00,CUST0001163,PROD0080,Germany,51.1657,10.4515,EU,Website,Credit Card,EUR,1,111.42,WELCOME10,11.14,22.28,122.56,1.06,129.91,FALSE,,
48E7032AC430,order,6/23/2024 2:32,CUST0000442,PROD0087,Canada,56.1304,-106.3468,,Website,Credit Card,USD,15,14.96,N/A,0,11.22,235.62,1,235.62,FALSE,,
43141D76A1D3,order,8/18/2025 19:24,CUST0001052,PROD0039,Netherlands,52.1326,5.2913,EU,Direct Sales,Invoice,EUR,1,23.58,N/A,0,4.72,28.3,1.06,30,FALSE,,
3833B35957C0,invoice,8/12/2025 20:27,CUST0000813,PROD0084,United Kingdom,55.3781,-3.436,EU,Website,Credit Card,GBP,3,184.55,N/A,0,110.73,664.38,1.22,810.54,FALSE,,
256FC0AE1F91,order,9/4/2025 5:16,CUST0001270,PROD0011,Netherlands,52.1326,5.2913,EU,Website,Invoice,EUR,1,234.91,N/A,0,46.98,281.89,1.06,298.8,FALSE,,
992673EC71FA,order,8/14/2025 1:34,CUST0003215,PROD0025,United States,39.8283,-98.5795,,Reseller,Invoice,USD,10,29,NEWCUSTOMER10,29,0,261,1,261,FALSE,,
56E390C9F361,invoice,5/15/2025 2:20,CUST0003336,PROD0023,United States,39.8283,-98.5795,,Website,Wire,USD,1,8,WELCOME10,0.8,0,7.2,1,7.2,FALSE,,
FE115B446117,order,3/6/2025 7:56,CUST0002488,PROD0062,United Kingdom,55.3781,-3.436,EU,Reseller,Credit Card,GBP,1,184.55,N/A,0,36.91,221.46,1.22,270.18,FALSE,,
9280ED6200CB,order,2/19/2025 20:44,CUST0000336,PROD0063,Netherlands,52.1326,5.2913,EU,Marketplace,Credit Card,EUR,1,9.32,N/A,0,1.86,11.18,1.06,11.85,FALSE,,
3FAB70AAC5AA,invoice,6/4/2024 10:10,CUST0000961,PROD0037,Germany,51.1657,10.4515,EU,Website,Wire,EUR,5,11.79,N/A,0,11.79,70.74,1.06,74.98,FALSE,,
CDC342D5C228,invoice,9/9/2025 22:25,CUST0003753,PROD0095,Australia,-25.2744,133.7751,APAC,Reseller,PayPal,AUD,20,29.74,NEWCUSTOMER10,59.48,59.48,594.8,0.66,392.57,FALSE,,
B36D376C16D2,invoice,9/7/2025 12:41,CUST0000497,PROD0020,United States,39.8283,-98.5795,,Website,Credit Card,USD,1,144,N/A,0,0,144,1,144,FALSE,,
30962C377FE2,invoice,6/10/2024 4:08,CUST0001308,PROD0006,Australia,-25.2744,133.7751,APAC,Partner,Invoice,AUD,1,225.76,N/A,0,22.58,248.34,0.66,163.9,FALSE,,
4D7327537F77,order,11/10/2024 19:58,CUST0002297,PROD0001,Canada,56.1304,-106.3468,,Website,PayPal,USD,1,49,LOYALTY15,7.35,2.45,44.1,1,44.1,FALSE,,
6433A0A807E8,order,6/4/2025 7:14,CUST0001760,PROD0086,Germany,51.1657,10.4515,EU,Website,Invoice,EUR,10,212.41,WELCOME10,212.41,424.82,2336.51,1.06,2476.7,FALSE,,
04A5E40FCD1F,order,3/20/2025 1:18,CUST0000134,PROD0048,Philippines,12.8797,121.774,APAC,Direct Sales,Credit Card,USD,10,90,N/A,0,135,1035,1,1035,FALSE,,
EB7ABF0CC2EB,order,3/9/2025 18:55,CUST0001718,PROD0090,United Kingdom,55.3781,-3.436,EU,Reseller,Credit Card,GBP,10,126.05,N/A,0,252.1,1512.6,1.22,1845.37,FALSE,,
A2C5C100B804,order,1/8/2025 19:06,CUST0003912,PROD0046,Netherlands,52.1326,5.2913,EU,Reseller,Credit Card,EUR,5,141.51,N/A,0,141.51,849.06,1.06,900,FALSE,,
70F34471AAA1,order,6/22/2024 2:04,CUST0003763,PROD0042,Canada,56.1304,-106.3468,,Marketplace,Invoice,USD,1,120,N/A,0,6,126,1,126,FALSE,,
DD959C9F0F59,order,6/30/2025 11:40,CUST0000228,PROD0100,Netherlands,52.1326,5.2913,EU,Direct Sales,Credit Card,EUR,1,298.37,N/A,0,59.67,358.04,1.06,379.52,FALSE,,
6EE059C0F8E5,order,8/21/2025 3:02,CUST0001724,PROD0003,United States,39.8283,-98.5795,,Direct Sales,Credit Card,USD,1,29,N/A,0,0,29,1,29,FALSE,,
90F8C2C9B541,order,8/6/2024 21:46,CUST0002050,PROD0082,United Kingdom,55.3781,-3.436,EU,Website,Credit Card,GBP,15,96.8,WELCOME10,145.2,290.4,1597.2,1.22,1948.58,FALSE,,
4D7DA9C0AEE8,invoice,1/2/2025 11:19,CUST0001156,PROD0029,United Kingdom,55.3781,-3.436,EU,Website,Credit Card,GBP,1,4.1,N/A,0,0.82,4.92,1.22,6,FALSE,,
8B8EB804C39C,order,5/26/2024 2:45,CUST0003977,PROD0060,Canada,56.1304,-106.3468,,Direct Sales,Credit Card,USD,1,225.15,N/A,0,11.26,236.41,1,236.41,FALSE,,
104CC594DDFE,order,12/17/2024 17:27,CUST0002776,PROD0073,France,46.2276,2.2137,EU,Marketplace,Credit Card,EUR,3,18.87,WELCOME10,5.66,11.32,62.27,1.06,66.01,FALSE,,
C5B5119B09BC,order,6/30/2024 7:58,CUST0001490,PROD0038,United Kingdom,55.3781,-3.436,EU,Partner,Credit Card,GBP,10,102.46,N/A,0,204.92,1229.52,1.22,1500.01,FALSE,,
A14D06B8D471,order,12/2/2024 19:45,CUST0003653,PROD0014,United Kingdom,55.3781,-3.436,EU,Reseller,PayPal,GBP,10,122.87,N/A,0,245.74,1474.44,1.22,1798.82,FALSE,,
6E40254A407A,invoice,10/1/2025 14:30,CUST0003401,PROD0048,Brazil,-14.235,-51.9253,LATAM,Website,Invoice,USD,3,90,BFCM10,27,40.5,283.5,1,283.5,FALSE,,
9248B0FC688D,order,7/8/2024 18:46,CUST0002163,PROD0006,United States,39.8283,-98.5795,,Direct Sales,Credit Card,USD,3,149,N/A,0,0,447,1,447,FALSE,,
4F3B5858B0EB,order,7/3/2024 18:15,CUST0001697,PROD0060,Canada,56.1304,-106.3468,,Reseller,Credit Card,USD,20,225.15,N/A,0,225.15,4728.15,1,4728.15,FALSE,,
13B37EA3A8F4,order,5/13/2025 9:46,CUST0001871,PROD0026,United States,39.8283,-98.5795,,Partner,Credit Card,USD,1,289,BFCM20,57.8,0,231.2,1,231.2,FALSE,,
E111DE993A2C,order,8/23/2024 21:38,CUST0000276,PROD0066,United Kingdom,55.3781,-3.436,EU,Website,PayPal,GBP,1,126.05,N/A,0,25.21,151.26,1.22,184.54,FALSE,,
1C65DADF376D,invoice,4/24/2024 23:04,CUST0001946,PROD0017,United States,39.8283,-98.5795,,Marketplace,Credit Card,USD,10,19,N/A,0,0,190,1,190,FALSE,,
5CD16E277849,order,11/14/2024 15:02,CUST0000886,PROD0027,United Kingdom,55.3781,-3.436,EU,Website,Credit Card,GBP,1,5.74,N/A,0,1.15,6.89,1.22,8.41,FALSE,,
A976362239DD,order,7/28/2024 4:38,CUST0003163,PROD0072,Australia,-25.2744,133.7751,APAC,Reseller,PayPal,AUD,1,405.15,N/A,0,40.52,445.67,0.66,294.14,FALSE,,
4AFCCB6F4BB5,invoice,3/29/2025 15:14,CUST0000935,PROD0060,Canada,56.1304,-106.3468,,Partner,Credit Card,USD,1,225.15,N/A,0,11.26,236.41,1,236.41,FALSE,,
D2D884A782F1,invoice,2/18/2025 22:23,CUST0001468,PROD0027,Germany,51.1657,10.4515,EU,Partner,Credit Card,EUR,5,6.6,N/A,0,6.6,39.6,1.06,41.98,FALSE,,
412DDE15A500,invoice,6/24/2025 14:07,CUST0001298,PROD0054,Philippines,12.8797,121.774,APAC,Direct Sales,Credit Card,USD,15,290,N/A,0,652.5,5002.5,1,5002.5,FALSE,,
E466E30893CC,invoice,3/19/2025 21:23,CUST0001068,PROD0037,United Kingdom,55.3781,-3.436,EU,Direct Sales,PayPal,GBP,1,10.25,N/A,0,2.05,12.3,1.22,15.01,FALSE,,
3B0724983DDB,invoice,6/4/2024 2:23,CUST0002067,PROD0100,United Kingdom,55.3781,-3.436,EU,Website,Credit Card,GBP,15,259.24,N/A,0,777.72,4666.32,1.22,5692.91,FALSE,,
96FD7E84F81F,order,5/24/2024 16:45,CUST0000510,PROD0023,United States,39.8283,-98.5795,,Reseller,Credit Card,USD,10,8,N/A,0,0,80,1,80,FALSE,,
A19A19A70CBC,invoice,9/14/2025 7:38,CUST0002097,PROD0098,Australia,-25.2744,133.7751,APAC,Website,PayPal,AUD,1,405.15,N/A,0,40.52,445.67,0.66,294.14,FALSE,,
F74E8F8E6F35,order,5/31/2025 3:24,CUST0003211,PROD0068,United States,39.8283,-98.5795,,Direct Sales,Invoice,USD,1,234.95,BFCM10,23.5,0,211.45,1,211.45,FALSE,,
9506A8A1F5EA,order,6/14/2025 0:14,CUST0000304,PROD0058,Brazil,-14.235,-51.9253,LATAM,Website,Invoice,USD,1,50,N/A,0,7.5,57.5,1,57.5,FALSE,,
D87DE974C37D,order,7/12/2025 20:01,CUST0002159,PROD0051,Netherlands,52.1326,5.2913,EU,Website,PayPal,EUR,1,18.87,N/A,0,3.77,22.64,1.06,24,FALSE,,
341421E0CF58,order,10/14/2024 21:19,CUST0000161,PROD0036,Canada,56.1304,-106.3468,,Direct Sales,Wire,USD,3,160,N/A,0,24,504,1,504,FALSE,,
77B8A2515579,invoice,2/6/2025 9:06,CUST0001453,PROD0021,Philippines,12.8797,121.774,APAC,Reseller,Credit Card,USD,10,10,N/A,0,15,115,1,115,FALSE,,
BADAE7727A02,invoice,8/3/2024 18:05,CUST0003113,PROD0049,Australia,-25.2744,133.7751,APAC,Direct Sales,Wire,AUD,1,19.7,N/A,0,1.97,21.67,0.66,14.3,FALSE,,
709E7B8C5AFD,invoice,4/23/2024 3:09,CUST0000265,PROD0037,Canada,56.1304,-106.3468,,Website,Credit Card,USD,10,12.5,N/A,0,6.25,131.25,1,131.25,FALSE,,
05480EE62F5D,order,3/14/2025 13:58,CUST0002501,PROD0061,Spain,40.4637,-3.7492,EU,Marketplace,Credit Card,EUR,3,9.43,N/A,0,5.66,33.95,1.06,35.99,FALSE,,
57B9AEA233D2,order,8/22/2024 19:42,CUST0000930,PROD0063,Netherlands,52.1326,5.2913,EU,Marketplace,PayPal,EUR,5,9.32,N/A,0,9.32,55.92,1.06,59.28,FALSE,,
2668FE5E3058,order,3/13/2025 21:21,CUST0000386,PROD0005,United States,39.8283,-98.5795,,Partner,Credit Card,USD,10,15,N/A,0,0,150,1,150,FALSE,,
26B9C4A5658C,order,8/23/2025 15:39,CUST0000992,PROD0092,Netherlands,52.1326,5.2913,EU,Website,Credit Card,EUR,1,221.65,N/A,0,44.33,265.98,1.06,281.94,FALSE,,
722847044D55,order,9/15/2024 13:44,CUST0003946,PROD0007,Netherlands,52.1326,5.2913,EU,Partner,Credit Card,EUR,10,8.49,N/A,0,16.98,101.88,1.06,107.99,FALSE,,
A37DE2CD84E8,order,9/8/2024 10:07,CUST0003453,PROD0062,United States,39.8283,-98.5795,,Website,Credit Card,USD,15,225.15,N/A,0,0,3377.25,1,3377.25,FALSE,,
EBDFDEB2EA14,order,7/23/2024 19:51,CUST0003148,PROD0084,United States,39.8283,-98.5795,,Partner,Credit Card,USD,15,225.15,N/A,0,0,3377.25,1,3377.25,FALSE,,
77DF20FB9E1D,invoice,10/20/2024 23:39,CUST0000419,PROD0044,United Kingdom,55.3781,-3.436,EU,Website,Credit Card,GBP,20,81.97,N/A,0,327.88,1967.28,1.22,2400.08,FALSE,,
49655C423155,order,6/16/2025 0:34,CUST0003145,PROD0004,United Kingdom,55.3781,-3.436,EU,Reseller,Invoice,GBP,10,245.08,N/A,0,490.16,2940.96,1.22,3587.97,FALSE,,
7896A1B89002,order,4/20/2025 4:17,CUST0000020,PROD0026,United States,39.8283,-98.5795,,Direct Sales,PayPal,USD,15,289,SAVE5,216.75,0,4118.25,1,4118.25,FALSE,,
53B71978FDC1,invoice,4/25/2025 15:01,CUST0000225,PROD0017,United States,39.8283,-98.5795,,Direct Sales,Invoice,USD,15,19,BFCM10,28.5,0,256.5,1,256.5,FALSE,,
5B55B940773B,invoice,5/14/2024 20:02,CUST0003157,PROD0037,United States,39.8283,-98.5795,,Reseller,Credit Card,USD,15,12.5,N/A,0,0,187.5,1,187.5,FALSE,,
B4456DBCB9CF,order,7/4/2025 12:52,CUST0001843,PROD0030,United Kingdom,55.3781,-3.436,EU,Website,Credit Card,GBP,1,40.98,N/A,0,8.2,49.18,1.22,60,FALSE,,
715BA4DC83D5,invoice,6/1/2025 20:35,CUST0002387,PROD0026,United Kingdom,55.3781,-3.436,EU,Marketplace,Credit Card,GBP,3,236.89,NEWCUSTOMER10,71.07,142.13,781.73,1.22,953.71,FALSE,,
959FE7EBE3F4,invoice,8/20/2024 7:52,CUST0000444,PROD0010,United States,39.8283,-98.5795,,Website,Credit Card,USD,15,25,N/A,0,0,375,1,375,FALSE,,
42FA2CC93729,invoice,3/15/2025 8:28,CUST0000494,PROD0051,United Kingdom,55.3781,-3.436,EU,Direct Sales,Invoice,GBP,1,16.39,BFCM10,1.64,3.28,18.03,1.22,22,FALSE,,
11D2F5360C88,order,5/23/2025 7:38,CUST0000841,PROD0067,France,46.2276,2.2137,EU,Website,Credit Card,EUR,3,17.85,SAVE5,2.68,10.71,61.58,1.06,65.27,FALSE,,
329E14056F2C,order,5/21/2024 11:33,CUST0001063,PROD0083,United States,39.8283,-98.5795,,Direct Sales,Invoice,USD,1,36.7,NEWCUSTOMER10,3.67,0,33.03,1,33.03,FALSE,,
EB0785129865,order,6/1/2024 21:12,CUST0001960,PROD0074,United States,39.8283,-98.5795,,Website,Invoice,USD,10,267.4,N/A,0,0,2674,1,2674,FALSE,,
CEF68FA0BE48,invoice,8/21/2024 5:01,CUST0003619,PROD0029,Australia,-25.2744,133.7751,APAC,Direct Sales,Credit Card,AUD,15,7.58,N/A,0,11.37,125.07,0.66,82.55,FALSE,,
77C3AE980B66,order,4/26/2024 0:30,CUST0000120,PROD0040,Brazil,-14.235,-51.9253,LATAM,Website,Invoice,USD,15,250,N/A,0,562.5,4312.5,1,4312.5,FALSE,,
B84391B571AB,invoice,3/23/2025 11:58,CUST0003959,PROD0025,Germany,51.1657,10.4515,EU,Website,Invoice,EUR,5,27.36,LOYALTY15,20.52,27.36,143.64,1.06,152.26,FALSE,,
BCEFEEF3E2A7,invoice,7/29/2024 7:55,CUST0003872,PROD0064,United States,39.8283,-98.5795,,Marketplace,Credit Card,USD,15,153.78,N/A,0,0,2306.7,1,2306.7,FALSE,,
179EA2C3476C,order,3/4/2025 7:03,CUST0002805,PROD0075,Netherlands,52.1326,5.2913,EU,Reseller,Credit Card,EUR,15,18.98,N/A,0,56.94,341.64,1.06,362.14,FALSE,,
7ACDD78FBCE4,invoice,6/24/2025 13:25,CUST0001655,PROD0029,United States,39.8283,-98.5795,,Direct Sales,Credit Card,USD,1,5,BFCM20,1,0,4,1,4,FALSE,,
D412972A7E80,invoice,9/14/2024 3:16,CUST0002917,PROD0056,United States,39.8283,-98.5795,,Direct Sales,Credit Card,USD,20,60,N/A,0,0,1200,1,1200,FALSE,,
954534AE3F32,order,2/11/2025 22:59,CUST0003205,PROD0057,Spain,40.4637,-3.7492,EU,Direct Sales,Credit Card,EUR,1,4.72,LOYALTY15,0.71,0.94,4.95,1.06,5.25,FALSE,,
5A5AE66FCF1A,order,4/8/2025 13:37,CUST0002973,PROD0092,United States,39.8283,-98.5795,,Website,PayPal,USD,20,234.95,WELCOME10,469.9,0,4229.1,1,4229.1,FALSE,,
2916B9FFA3DF,invoice,3/25/2025 22:54,CUST0001678,PROD0048,Philippines,12.8797,121.774,APAC,Website,PayPal,USD,1,90,N/A,0,13.5,103.5,1,103.5,FALSE,,
FC638D54AAF8,invoice,9/11/2024 9:53,CUST0002234,PROD0077,United States,39.8283,-98.5795,,Website,Credit Card,USD,1,25,SAVE5,1.25,0,23.75,1,23.75,FALSE,,
AFF0BE2E5FA7,order,3/12/2025 16:54,CUST0002370,PROD0049,United States,39.8283,-98.5795,,Direct Sales,PayPal,USD,10,13,NEWCUSTOMER10,13,0,117,1,117,FALSE,,
A05AB4BE0B7C,order,8/26/2024 9:52,CUST0001789,PROD0068,Canada,56.1304,-106.3468,,Website,Credit Card,USD,1,234.95,NEWCUSTOMER10,23.5,11.75,223.2,1,223.2,FALSE,,
5965E0E2AA51,order,4/5/2025 11:08,CUST0000091,PROD0005,United States,39.8283,-98.5795,,Website,Credit Card,USD,20,15,N/A,0,0,300,1,300,FALSE,,
2BB5205B005A,order,9/25/2024 9:46,CUST0002006,PROD0088,Spain,40.4637,-3.7492,EU,Direct Sales,Invoice,EUR,5,145.08,N/A,0,145.08,870.48,1.06,922.71,FALSE,,
FD2F3ABDAC9A,order,10/15/2024 22:51,CUST0000631,PROD0089,Spain,40.4637,-3.7492,EU,Partner,Invoice,EUR,10,22.12,N/A,0,44.24,265.44,1.06,281.37,FALSE,,
E28782E52135,order,9/27/2025 21:25,CUST0003733,PROD0078,United States,39.8283,-98.5795,,Reseller,PayPal,USD,1,316.27,STUDENT15,47.44,0,268.83,1,268.83,FALSE,,
71E7848049BF,invoice,5/21/2025 21:22,CUST0000363,PROD0046,United States,39.8283,-98.5795,,Partner,Credit Card,USD,1,150,N/A,0,0,150,1,150,FALSE,,
68A58A215538,order,7/7/2024 16:45,CUST0002194,PROD0055,United States,39.8283,-98.5795,,Direct Sales,Credit Card,USD,3,6,N/A,0,0,18,1,18,FALSE,,
AA3F9D59E0E2,order,4/30/2024 0:53,CUST0000368,PROD0028,Canada,56.1304,-106.3468,,Reseller,Credit Card,USD,1,70,WELCOME10,7,3.5,66.5,1,66.5,FALSE,,
32BD21707894,invoice,6/12/2024 16:37,CUST0003538,PROD0096,United States,39.8283,-98.5795,,Website,Invoice,USD,3,267.4,NEWCUSTOMER10,80.22,0,721.98,1,721.98,FALSE,,
